LOCAL-FIRST TRANSCRIPTION

Upload a meeting recording and export a full transcript.
Notadio runs on your machine with free local tooling. The first release turns audio or video into timestamped transcript files without depending on paid APIs.

Drop audio/video here or browse
Junta_2026-03-07 10-37-34.mp3
Junta_2026-03-07 10-37-34.mp3
43.4 MB
Start transcription
JOB STATUS

processing
Junta_2026-03-07 10-37-34.mp3
Running local Whisper transcription

24%
transcribe
Language
Pending
Duration
47:23
Elapsed
01:27
ETA
04:40
PROCESSING

speed
win32 | x64 | 16 logical cores | NVIDIA GPU detected

Threads
15
Translation
Enabled
Runtime
gpu
configuration: --enable-gpl --enable-version3 --enable-static --disable-w32threads --disable-autodetect --enable-fontconfig --enable-iconv --enable-gnutls --enable-libxml2 --enable-gmp --enable-bzlib --enable-lzma --enable-zlib --enable-libsrt --enable-libssh --enable-libzmq --enable-avisynth --enable-sdl2 --enable-libwebp --enable-libx264 --enable-libx265 --enable-libxvid --enable-libaom --enable-libopenjpeg --enable-libvpx --enable-mediafoundation --enable-libass --enable-libfreetype --enable-libfribidi --enable-libharfbuzz --enable-libvidstab --enable-libvmaf --enable-libzimg --enable-amf --enable-cuda-llvm --enable-cuvid --enable-dxva2 --enable-d3d11va --enable-d3d12va --enable-ffnvcodec --enable-libvpl --enable-nvdec --enable-nvenc --enable-vaapi --enable-libgme --enable-libopenmpt --enable-libopencore-amrwb --enable-libmp3lame --enable-libtheora --enable-libvo-amrwbenc --enable-libgsm --enable-libopencore-amrnb --enable-libopus --enable-libspeex --enable-libvorbis --enable-librubberband

WARNINGS

No warnings.

LIVE LOGS

[00:07:32.940 --> 00:07:37.080]   Y me falta aquí
[00:07:37.080 --> 00:07:37.840]   Corregir un poquito
[00:07:37.840 --> 00:07:39.080]   La parte del degradado
[00:07:39.080 --> 00:07:39.820]   Que inicia de abajo
[00:07:39.820 --> 00:07:40.420]   Para arriba
[00:07:40.420 --> 00:07:43.340]   Así en próximas
[00:07:43.340 --> 00:07:46.480]   Funcionan los filtros
[00:07:46.480 --> 00:07:46.960]   Y todo
[00:07:46.960 --> 00:07:51.680]   Si nos vamos a desempeño
[00:07:51.680 --> 00:07:53.060]   En desempeño tenía dudas
[00:07:53.060 --> 00:07:54.260]   Porque no supe bien
[00:07:54.260 --> 00:07:55.660]   Qué tipo de gráficas
[00:07:55.660 --> 00:07:56.080]   Pedía
[00:07:56.080 --> 00:07:56.960]   Entonces me basé
[00:07:56.960 --> 00:07:57.680]   Un poquito en el
[00:07:57.680 --> 00:07:58.680]   En lo del front
[00:07:58.680 --> 00:07:59.520]   Para hacer como tal
[00:07:59.520 --> 00:08:00.840]   Toda esta parte de desempeños
[00:08:00.840 --> 00:08:02.080]   Igual creo que
[00:08:02.080 --> 00:08:03.020]   Javi, no sé si ya había
[00:08:03.020 --> 00:08:03.680]   Lógica de
[00:08:03.680 --> 00:08:04.740]   Para todo esto
[00:08:04.740 --> 00:08:07.460]   Sí, sí, sí
[00:08:07.460 --> 00:08:08.700]   Ah, bueno
[00:08:08.700 --> 00:08:10.120]   Sí
[00:08:10.120 --> 00:08:13.080]   Está correcto
[00:08:13.080 --> 00:08:14.000]   Bueno
[00:08:14.000 --> 00:08:15.180]   Lo mismo para
[00:08:15.180 --> 00:08:16.140]   Este botoncito
[00:08:16.140 --> 00:08:17.420]   Notificaciones
[00:08:17.420 --> 00:08:18.880]   Y en perfil tenía
[00:08:18.880 --> 00:08:19.940]   Un poco de dudas
[00:08:19.940 --> 00:08:20.300]   Sobre
[00:08:20.300 --> 00:08:21.680]   O sea, es que
[00:08:21.680 --> 00:08:22.400]   No había ninguna
[00:08:22.400 --> 00:08:23.160]   Como tal vista
[00:08:23.160 --> 00:08:23.840]   Para
[00:08:23.840 --> 00:08:24.900]   Como si iba a haber
[00:08:24.900 --> 00:08:25.400]   Como tal
[00:08:25.400 --> 00:08:26.540]   Todo junto
[00:08:26.540 --> 00:08:27.000]   Entonces
[00:08:27.000 --> 00:08:27.560]   Me dio
[00:08:27.560 --> 00:08:28.800]   Me basé en varios diseños
[00:08:28.800 --> 00:08:29.920]   Que encontré en Internet
[00:08:29.920 --> 00:08:31.700]   Y pues hice esto
[00:08:31.700 --> 00:08:32.320]   Más o menos
[00:08:32.320 --> 00:08:33.960]   Pregunta
[00:08:33.960 --> 00:08:35.400]   La aplicación
[00:08:35.400 --> 00:08:35.940]   Esa
[00:08:35.940 --> 00:08:37.120]   O sea, es para clientes
